,datetime,latitude,longitude,city,state,duration,shape,comments
68843,2010-07-04 21:40:00,33.7205556,-116.2147222,indio,ca,180,light,one white light with 3 red lights&#44 the red lights were faint but then shot out like missals.
68844,2010-07-04 21:40:00,37.6922222,-97.3372222,wichita,ks,300,fireball,4 fireballs streak across WIchita Ks July 4th 2010
68845,2010-07-04 21:42:00,40.4258333,-74.0872222,belford,nj,10,disk,speeding object followed by a second object three minutes later with red glow
68846,2010-07-04 21:45:00,41.85,-87.65,chicago,il,120,rectangle,Three orange&#44 flame &quot;lanterns&quot; slowly moving NNE over Chicago in formation on July 4&#44 2010 at 9:45pm
68847,2010-07-04 21:45:00,47.5002778,-111.3,great falls,mt,120,unknown,Craft with large yellow/reddish color light observed over Great Falls MT on July 4th&#44 2010
68848,2010-07-04 21:45:00,46.8838889,-102.3152778,richardton,nd,180,teardrop,My wife and son and I were watching fire works towards the west side of town from the east and we saw a fire shape bell object leave fr
68849,2010-07-04 21:45:00,38.9591667,-85.8902778,seymour,in,120,sphere,One and  two&#44 quiet&#44 red/orange glowing objects in the sky on 4th of July about 9:45 to 10pm&#44 on the way home and after I got home.
68850,2010-07-04 21:45:00,38.8275,-91.02,wright city,mo,120,other,Wright City&#44 Missouri 21:45PM July 4&#44 2010 Strange String of Lights That Stayed Lit Roughly 1 Minute in Sky
68851,2010-07-04 21:50:00,41.3205556,-73.0894444,derby,ct,180,fireball,Fireball moving across the sky
68852,2010-07-04 21:50:00,47.6063889,-122.3308333,seattle,wa,1800,light,Bright orange/red light orb seen over Gasworks Park&#44 Seattle just moments before fireworks show.
68853,2010-07-04 21:55:00,41.7713889,-93.7127778,polk city,ia,300,other,I was walking my dog before the 10:00 news&#44 looked up at the sky and saw an orange glowing object.
68854,2010-07-04 22:00:00,39.3,-85.2222222,batesville (near lake santee),in,1200,fireball,Fireball seen over Lake Santee on July 3&#44 2010
68855,2010-07-04 22:00:00,38.52,-89.9838889,belleville,il,600,circle,Unidentified Balls of light fly over Belleville after 4th of July celebration.
68856,2010-07-04 22:00:00,47.7625,-122.2041667,bothell,wa,60,sphere,Two smoothly gliding&#44 glowing orange orbs over Bothell&#44 WA&#44 with photograph. Animated movie from prior sighting of 1997.
68859,2010-07-04 22:00:00,42.8408333,-85.6636111,cutlerville,mi,60,sphere,Bright red ball flew over sky and made sharp turn an headed for south.
68860,2010-07-04 22:00:00,39.2052778,-84.3947222,deer park,oh,3000,changing,Looking NE there was a bright round/triangular object hovering in the sky and moving sporadically; changed in shape&#44 size&#44 &amp; brightness
68861,2010-07-04 22:00:00,41.4558333,-96.0261111,fort calhoun,ne,1800,circle,On July 4th Looked like 1 round fireball&#44 but was 3&#44&#44  55 Pictures
68862,2010-07-04 22:00:00,39.0516667,-84.5341667,fort wright,ky,300,fireball,Orange orb over Cincinnati
68863,2010-07-04 22:00:00,35.2619444,-81.1875,gastonia,nc,30,fireball,Zig zaging fireball
68864,2010-07-04 22:00:00,38.2097222,-84.5588889,georgetown,ky,20,fireball,Fast moving ball of fire that we saw from our back porch while lying in the hammock.
68865,2010-07-04 22:00:00,37.9175,-76.4725,heathsville,va,60,fireball,During the fireworks display at 10PM&#44 4 of us witnessed a red/orange glowing sphere or disc shape moving silently&#44 smoothly and quickly
